,Project Name,Project Description,City,Local,Project Type,Bid Type,Design Type,Estimator,DEPT,Bid Status, Base Bid 
320,SpaceX Recovery Boat repairs,Repair items on recovery boat,San Pedro, 11 LA , Specialty , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2500
321,"HHCI Bldg D, Urgent Care",Bldg D TI,Irvine, 441 OC , Hospital , Competitive , Engineered , Rudy , Est. ,Awarded,211701
324,Bbraun Excel Plastics Injection Mold maching,New power for injection mold change,Irvine, 441 OC , Comercial , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,79602
1,AAA UPS Replacment B1 1st Floor Telco Room,UPS Upgrade,Costa Mesa, 441 OC , TI , Competitive , Engineered , Frank , Est. ,Lost,67280
7,"Los Olivos Market Place Vanilla Box Improv. 8561, 8565, & 8599",Vanilla Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Jeff P. , Est. ,Awarded,233380
9,Pimco- 7-8 & 17-18,Tenant Improvement,Newport Beach, 441 OC , TI , Select Bid List , Engineered , Jeff S , P.M. ,Awarded,148645
15,OCC Pavillion feeder replacement,Repull feeder to pavillion,Costa Mesa, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,60897
16,OCC Bakery outlets above prep tables,New outlets on existing circuit,Costa Mesa, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1287
20,UC Path Lighting Repair,Repair 7 fixtures,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3000
21,Toyota Explosion proof fire alarm raceways,Replace box and conduit for FA,Gardena, 441 OC , Industrial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3000
24,Bbraun Duplex line 2 and 3 vac pumps,New switches and controls,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,14914
26,Hotel Irvine Parking Lot automation,Conduit for parking lot automation,Irvine, 441 OC , Site , Select Bid List , Engineered , Doyle , S.P. ,Awarded,1950
28,Sand Canyon Business Park,(2) New 4 story Office Buildings. ,Irvine, 441 OC , Shell , Competitive , Engineered , Frank , Est. ,Lost,3250483
29,HHI ED Expansion Design Build Services,New ED Exspansion,Irvine, 441 OC , Hospital , Negotiated , Design/Build , Frank , Est. ,Awarded,170493
32,Hoag Health Center Package B & C,Medical Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Jeff P. , Est. ,Awarded,2526185
33,Quantum Fuel Crane Power ,Move crane power and connect new crane,Lake Forest, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Lost,3850
35,BioRad standby labor for schedule outage,Standby labor for SCE outage,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1500
36,Telepacific New  underfloor outlets,Add 11 new underfloor outlets,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6620
40,"PacLife Newport Ground, 4 and 5 floor restack",Rework lighting and power,Newport Beach, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,Awarded,45011
41,Anaheim Corp Plaza Elevator breaker replacement,Replace 150 amp SqD I line breaker,Anaheim, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,898
42,Boeing AC Project,Replace AC unit,Huntington Beach, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,Lost,11170
44,Bbraun E3 Control Panel for roof valves,control power for roof valves,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,19838
46,Hoag Urgent Care Los Olivos,Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Steve  , Est. ,Lost,156514
47,Chevron CRC Pre-action,FA Pre-Action,ElSegundo, 11 LA , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,Lost,8000
53,Telepacific new power at rack,New power at existing rack,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4992
58,Tesla Fire Alarm,Fire Alarm Install,BFE, 401 Reno , Fire Alarm , Select Bid List , Engineered , Jeff P. , Est. ,Awarded,711400
61,Deutsche Bank Survey for new Syska design,Load Studies and surveys,Santa Ana, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,8000
62,Time Warner Corona Warehouse Fixture Relocation,Light fixture relocate in warehouse,"Corona
", 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3100
64,Youngs Market cubical addtions 2 areas,New office layout power and data,Tustin, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6980
65,Hotel irvine Repull emergency feed to ATS,Repull bad feeder to ATS,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3800
67,Hoag Automated Specimen Processor,Tenant Improvement,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Bill  , P.M. ,Awarded,11900
68,Irvine Spectrum Wheel control cabinet replacment,Replace cabinet with panel,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6770
71,"Hoag 307 Placentia, Suite 100&109",Tenant Improvement,Newport Beach, 441 OC , Comercial , Select Bid List , Engineered , Brian , Est. ,Lost,140434
73,Carrington Mortgage Generator connection,Wire new generator,Anaheim, 441 OC , Site , Select Bid List , Engineered , Doyle , S.P. ,Awarded,142535
74,First American Generator Lighting replacement,Replace exterior lighting,Santa Ana, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,30984
76,Irvine Company MPC Eventspace and Ct yard Enhancements,Site improvements,Irvine, 441 OC , Site , Select Bid List , Engineered , Brian , Est. ,Lost,21753
78,Sand Canyon Monument Signs,(3) New Monument Signs,Irvine, 441 OC , Site , Select Bid List , Design/Build , Steve  , Est. ,Lost,10386
81,Anaheim Corp Park Towne Center IR repairs,Elevator disconnect and breaker replace,Anaheim, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1690
87,Banc jof California Phase 1,Tenant Improvement,Santa Ana, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,Lost,10135
88,Banc of California Phase 2 Fixtures only,Tenant Improvement,Santa Ana, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,Lost,460643
89,Bank of California Phase 2,Tenant Improvement,Santa Ana, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,Lost,633861
93,"5000 Birch Street, Suite 120",Tenant Improvement,Newport Beach, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,Awarded,48907
94,Florida Dept of Revenue new circuit and outlet,New circuit and outlet,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,1998
96,Bixby IR Repairs,IR repairs per report,Seal Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,4570
97,TWC AC circuit add,New circuit for split AC system,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1972
98,Experian,Tenant Improvement,Costa Mesa, 441 OC , TI , Budget , Engineered , Brian , Est. ,Awarded,1826048
99,Blizzard B3 GNOC Metering,meter existing loads as directed,Irvine, 441 OC , TI , Select Bid List , Design/Build , Frank , Est. ,Awarded,6000
100,EMC2--Pivitol Office new hand dryers,New hand dryer circuits for office,Santa Monica, 11 LA , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3394
101,Blizzard Furniture restack for Datacom,Modular furniture restack for My,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,9300
102,NHHS Batting Cages,Add Outdoor lighting to batting cages,Newport Beach, 441 OC , Specialty , Negotiated , Design/Build , Frank , Est. ,Awarded,5072
103,Imuraya Freezer Installation,New feeder and branch for freezer,Irvine, 441 OC , TI , Budget , Design/ Assist , Doyle , S.P. ,Awarded,35000
107,Hines_Intersect,Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Brian , Est. ,Lost,777262
110,Time Warner IT rack City of Industry,Power for new IT racks,City of Industry, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,4580
111,Hotel Irvine Heat Lamp Installation,Install customer furnished fixtures,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,8997
114,King Compounding Pharmacy Center,Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Brian , Est. ,Lost,37005
115,Time Warner IT rack Brea,Power for New IT equipment,Brea, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,1978
116,PacLife Newport 2 inch conduit installation,"Install up to 30' 2"" stub",Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1017
117,Carrington Mortgage New Data conduit and outlets for Level 3,"New 2"" EMT and 2 new outlets",Anaheim, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,9000
121,Concordia CUI,New Construction,Irvine, 441 OC , Specialty , Budget , Design/ Assist , Brian , Est. ,Lost,4348169
122,Cylance add outlets and rack feeds,Add outlets and rack feeds,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1918
123,OCC Consession trailer power connection,Tie trailer power to panel,Costa Mesa, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1500
124,Hoag Newport GI Lab HLD,Lab Processing Room Remodel,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Steve  , Est. ,Awarded,7006
125,"ASM Restack 4, Area A, 216 Open Area",Furnirture Restack,Anaheim, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,Awarded,16004
126,Chevron Warehouse,Fire Alarm Install,ElSegundo, 11 LA , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,Lost,30500
127,Lido Suite 521 new 208 volt outlet,New circuit and outlet for suite 521,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1185
129,PIMCO 7th floor IDF four new outlets,4 new L6-20 outlets in IDF,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2986
130,Bbraun QA Cubicles Power,Rework power for cubicals,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3800
131,Hoag Donor RecognitionLibrary Remodel,Hospital Remodel,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Bill  , P.M. ,Awarded,29465
132,TWC 60 amp heater circuits,Circuits for 2 new heater units,Garden Grove, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,7347
135,C3 Technology copier outlet relocation,Relocate existing data and outlet,Aliso Viejo, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,898
137,Hoag MRI alarm wiring,wiring for new MRI alarm,Irvine, 441 OC , Hospital , Select Bid List , Engineered , Doyle , S.P. ,Awarded,4888
140,Blizzard B11 & B12 Audit,Perform Electrical Audit,Irvine, 441 OC , TI , Negotiated , Design/ Assist , Frank , Est. ,Awarded,5364
143,KYA Warehouse new circuits,New Circuits for warehouse power,Tustin, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,9279
145,PIH Health - New 3 Story MOB & TI,Core and Shell & TI,Santa Fa Springs, 11 LA , Shell , Select Bid List , Engineered , Steve  , Est. ,Lost,1522132
146,Hyperloop,Tenant Improvement,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Brian , Est. ,Awarded,6170
148,The Block-GNC,Tenant Improvement,Los Angeles, 441 OC , TI , Select Bid List , Engineered , Brian , Est. ,Lost,70170
150,Cylance add outlet in IT area,Add quad outlet in IT area,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,400
152,John Hancock-Suite 120,Tenant Improvement,Newport Beach, 441 OC , TI , Negotiated , Engineered , Brian , Est. ,Awarded,152270
154,OCC Trailer lights and outlets,lights and outlets for snack trailer,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2963
155,Direct TV LADF Phase 2,Satelite Uplink Building,Bakersfield, 477 SB , Specialty , Select Bid List , Engineered , Jeff P. , Est. ,Lost,5202696
157,Telepacific power and lighting LA site,New power and lightings for telcom,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4980
158,Blizzard TI for Datacom Building 2 first floor,Furnirture Restack,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,14283
159,TWC Ontario new cubical power,New circuits for 3 new cubes,Ontario, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2434
160,Mazda new circuit for equipement,New circuit,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3686
161,Telepacific new power for L6-30 outlets,2 new L6-30 outlets,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1867
162,Pimco 14th floor room 14-110 split,Add wall and split room,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,5418
163,The Rinks  Great Park Ice Rinks,3 Ice Rinks,Irvine, 441 OC , Specialty , Select Bid List , Engineered , Jeff P. , Est. ,Awarded,7173808
165,Bbraun Training area remodel,Remodel for Intergrated interiors,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6580
166,Bbraun ASC 4 area to Enviromental Lab conversion,Convert office to lab,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,22000
169,Lakeshore Towers Parking Structure,"7-Story  Extension, Shell/Core/Site",Irvine, 441 OC , Parking Structure , Competitive , Engineered , Brian , Est. ,Awarded,1614849
170,The Village at Tustin Legacy,New (6) Retail/Rest Bldg's & Pad's,Tustin, 441 OC , Comercial , Select Bid List , Engineered , Steve  , Est. ,Lost,1626563
172,Hoag Coastal Cardology Suite ,Tenant Improvement,Irvine, 441 OC , TI , Negotiated , Engineered , Frank , Est. ,Awarded,41430
175,Time Warner Lighting reto and exit signs,Retrofit 5 recess cans and exit signs,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4945
177,Jon Simon fire damage,Repair fire damage wiring,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4000
181,Bbraun outdoor patio lunch area renovation,Add new outlets and circuit,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,9212
182,Technicolor add work stations,add 9 new workstations,Ontario, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1440
183,Cylance Freezer and coke machine power,New circuits and trace wiring,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2468
184,OCC Install customer furnished fixtures in classrooms,Install customer furnished fixtures,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6992
185,Pacific Life,Tenant Improvement,Aliso Viejo, 441 OC , TI , Select Bid List , Engineered , Brian , Est. ,Awarded,20644
188,TWC Office Restack,Restack office Layout,Cypress, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4070
189,First American office outlet,New outlet in office 9.1004P,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,650
191,Leaps & Bounds ,Fire Alarm Install,LA, 11 LA , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,Lost,19300
192,OCC Vending Machine circuit,4 circuits for vending maching relo,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1997
193,OCC Trailer rewire due to burn panel,Rewire circuits in trailer,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,5000
195,Blizzard B11 BONS,Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,Awarded,221221
197,Carrington Enterprise add 4 outlets,add 4 outlets and 2 circuits,Aliso Viejo, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1850
201,SpaceX load studies 4 locations,SpaceX Load Studies,Hawthorne, 11 LA , Specialty , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4400
202,Blizzard Bld 3 battle.net restack,Blizzard Bld 3 restack,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1800
204,Walnut Village Center,Parking Lot & Bldg renovation,Irvine, 441 OC , Site , Select Bid List , Engineered , Steve  , Est. ,Awarded,137483
208,Irvine Oaks Parking Structure,New Parking Structure,Irvine, 441 OC , Parking Structure , Select Bid List , Engineered , Steve  , Est. ,Awarded,165907
217,Youngs Market upstairs copier outlet/circuits,New circuits and outlets for (2) copiers,Tustin, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2862
221,Vans HQ,Tenant Improvement,Costa Mesa, 441 OC , TI , Budget , Engineered , Jeff P. , Est. ,Lost,4891670
234,Burnt Crumbs Los Olivos,Small Restaurant TI,Irvine, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Lost,114268
241,Polish Perfect - Irvine,TI for new Nail Salon,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,Lost,45418
242,Central Park Village MOB,4 Story Shell and Core MOB,Brea, 441 OC , Shell , Select Bid List , Engineered , Steve  , Est. ,Lost,622748
243,Bamc of Califoinia Phase 3,4 floors of TI,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , P.M. ,Lost,1167207
264,SpaceX -  Avionics Test Lab Upgrade,Update Test lab area,Hathorne, 11 LA , Specialty , Select Bid List , Engineered , Steve  , Est. ,Lost,364265
266,Epson Carson Sign Power,New circuit and time clock to sign,Carson, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3680
273,Rose Trellis hang new chandelier,Hang new Chandelier,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,800
279,TWC Asssit engineer with as built drawings,Assist with as built drawings,Ontario, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,8900
280,Thales warehouse workstation renovation,Move drops for workstaiton relo,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,8300
282,John Lin Car charger outlet and meter,Add meter and car charger outlet,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,780
287,Bbraun - Mixing Tank Replacement,Replace (2) Existing Tanks,Irvine, 441 OC , Industrial , Select Bid List , Engineered , Steve  , Est. ,Lost,58651
291,Bbraun Wintriss QA system installation,Install conduit and wire for QA system,Irvine, 441 OC , Industrial , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,11720
292,HHNB Valve Center Relocation,Vasular lab project bid to 3 GCs,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Bill  , P.M. ,Awarded,117136
293,Teamsters add roof top lighting,Add 2 new roof top lights,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2996
294,Chapman Replace outlets in dorm rooms,Replace outlets with customer furnished,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,7080
295,Chapman permit for remote fuel fill at Hashinger,Permit for fuel fill line,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2900
296,Bbraun feeder for Die Cart,225 amp feeder for die cart,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,33239
300,Imuraya add 2 production motors,Add 2 new motor feeders and starter,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,8260
302,AAA Yorba Linda lighting override,Add override for lighting to suite,Yorba Linda, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2085
311,Bbraun Autoclave power,Power for new autoclave,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,39842
313,Bbraun Restroom lighting remodel for 2 rooms,Lighitng for 2 restrooms,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,13885
314,Davita Health Care,TI remodle,El Segundo, 11 LA , TI , Select Bid List , Design/ Assist , Ron , P.M. ,Awarded,87500
315,Blizzard 3 panel metering Pastur Bld,3 load studies,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3200
317,SpaceX Irvine TI,TI for Irvine Site,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,13090
321,Bbraun new flow transmitter raceway and conductors,New conduit and wire for transmitter,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3725
323,Nike Conduit and survey for Datacomm,Site survey and new conduit for data,Carlsbad, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,500
332,Porsche Irvine,2-Story Car Dealership w/ Pkg Deck,Irvine, 441 OC , Comercial , Select Bid List , Engineered , Steve  , Est. ,Lost,1020752
333,Stride Sudio TI,TI for Small studio,Pasadena, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,Lost,77981
334,Panel survey and accessment,Inspect and advise on panel damage,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,150
336,Epson Carson outlet in Star Rock room,Add 220 volt outlet in conf room,Carson, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1100
339,Newport Lido suite 532 outlet,Add dedicated outlet suite 532,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,640
340,Bbraun Wntress add DS interrator panel,Add wiring for intergrator panel,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2160
347,Time Warner Disconnect power for trailer,Disconnect trailer and pull out wire,Bellflower, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,790
348,Bbraun 8 Battery Charger Relocation,Relocate 8 battery charger units,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,22410
351,Ovation Fertility add generator powered outlets,Add 2 new outlets,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1475
357,Jserra Catholic new outlets,2 new outlets and dedicated circuits,San Juan Cap, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,940
359,Bbraun Maint. Mechanics fence relocation,Fence relocation for Maint. Mechanics,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,18497
369,Hoag Newport 15 load studies,15 load studies,Newport Beach, 441 OC , Hospital , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,14050
0,Block 800,Retail New Additons and Remode,Irvine, 441 OC , Comercial , Select Bid List , Engineered , Steve  , Est. ,Awarded,2037838
1,Hoag Tustin  MOB,Shell & Core,Tustin, 441 OC , Shell , Select Bid List , Engineered , Brian , Est. ,Awarded,294791
2,HHNB CT SCANNER REPLACEMENT,Hospital ,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Bill  , P.M. ,Awarded,131950
4,HHNB IR Single Plane Replacement,Hospital ,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Steve  , Est. ,Awarded,91940
5,Fountain Valley Hospital Genset Rental Womens pavillion,Temp genset rental,Fountain Valley, 441 OC , Hospital , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,7400
6,The Point Title 24 Acceptance testing,Title 24 Acceptance testing,El Segundo , 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,Awarded,950
7,Larchmont Village Title 24 Acceptance testing,Title 24 Acceptance testing,Los Angeles, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,Awarded,750
8,Newport Lido Dr. Hung 6 light fixtures,R&R six hanging fixtures,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,9000
9,Blizzard Distribution modification budget,Budget to change panels or add transf.,Irvine, 441 OC , TI , Budget , Design/ Assist , Doyle , S.P. ,Awarded,9000
10,Epson Carson add 10 new charger units,Add 10 new warehouse chargers,Carson, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,9623
11,Hotel Irvine new underground for parking controls,"Add new 2"" underground raceway",Irvine, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,16275
12,Calvary Chapel New AC unit,New AC unit and FC units,Anaheim, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,Awarded,6000
13,Teamsters Local outside lighting work,Add and service outside lighting,Orange, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6895
16,Dr. Lee Carter new treadmill outlet at Lido,New outlet for treadmill,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1335
17,Gibson Dunn and Crutcher TI,"TI for 11, 12 and 14th floors",Irvine, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,Awarded,153455
18,TWC power to AC unit,Power to AC unit,Garden Grove, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1800
19,Ladera Sports Center power relocation,Move power and data connection,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,988
20,Burke Aston Avenue Office Building,Shell & Core,Carlsbad, 441 OC , Shell , Select Bid List , Engineered , Steve  , Est. ,Awarded,317857
22,College Hospital MOB new panel and circuits to lounge,New panel and circuits for Lounge,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2442
23,MVMC MOB & PS DB Project,New Construction,Misson Viejo, 441 OC , Shell , Competitive , Design/Build , Frank , Est. ,Awarded,268939
25,Good Shephard Lutheran circuit for outlet,New circuit for Green room infant,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,975
26,Blizzard B5 Q&A,Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Awarded,73764
31,"Blizzard B1 RR, Lobby, and Boardroom Remodel",Tenant Improvement,Irvine, 441 OC , TI , Budget , Design/Build , Frank , Est. ,Awarded,55647
33,Blizzard B3 Integrated Management ,Tenant Improvement,Irvine, 441 OC , TI , Negotiated , Engineered , Frank , Est. ,Awarded,538481
35,HHNB HR OPTIMIZATION,Tenant Improvement,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Bill  , P.M. ,Awarded,17801
36,AAA Conference room lighting retrofit,Conference room lighting retrofit,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,30560
37,AAA Cafeteria Generator sub feed,Cafeteria Generator feed,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,24415
38,CTA Lighting Repairs,Repair Lighitng issues,Norco, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,8000
42,Biorad Temp Genset,Temp genset rental,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,39486
43,AAA Newport Cabinet remodel,Break area cabinet remodel,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1500
44,Blizzard B21,Tenant Improvement,Irvine, 441 OC , TI , Negotiated , Engineered , Frank , Est. ,Awarded,59347
45,Bbraun refeed wiremold,Refeed wiremold and demo,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,10867
51,HHI Orthopedic On-Call Conversion to storage,Tenant Improvement,Irvine, 441 OC , Hospital , Select Bid List , Engineered , Bill  , P.M. ,Awarded,14230
59,Blizzard #3- Wellness Center,Tenant Improvement,irvine, 441 OC , TI , Select Bid List , Engineered , Jeff S , P.M. ,Awarded,29233
60,Cerritos Corp replace light poles,Replace 1 or 3 light poles,Cerritos, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3680
