,Project Name,City,Local,Project Type,Bid Type,Design Type,Estimator,DEPT, Base Bid ,Bid Status
190,Pacific Dental Services,Irvine, 441 OC , TI , Select Bid List , Design/Build , Frank , Est. ,1932132,Lost
192,Rio Hondo College,Whittier, 11 LA , Fire Alarm , Select Bid List , Engineered , Dean , P.M. ,4850,Lost
194,CSU Chancellor FA upgrade,Long Beach , 11 LA , Fire Alarm , Select Bid List , Design/ Assist , Dean , P.M. ,164750,Lost
195,LBHS Pool Facility,Laguna Beach, 441 OC , Fire Alarm , Select Bid List , Engineered , Dean , P.M. ,10750,Lost
196,Courtyard by Marriott,Woodland Hills, 11 LA , Fire Alarm , Select Bid List , Engineered , Dean , P.M. ,89240,Lost
197,PLH Respiratory,Placentia Linda, 441 OC , Fire Alarm , Select Bid List , Engineered , Dean , P.M. ,1800,Awarded
198,PLH Air Handler 10&13,Placentia Linda, 441 OC , Fire Alarm , Select Bid List , Engineered , Dean , P.M. ,1200,Awarded
199,PLH IT Room,Placentia Linda, 441 OC , Fire Alarm , Select Bid List , Engineered , Dean , P.M. ,2400,Awarded
200,PLH Medical Records,Placentia Linda, 441 OC , Fire Alarm , Select Bid List , Engineered , Dean , P.M. ,2000,Awarded
201,FCC PE NIC TI,Fullerton, 441 OC , Fire Alarm , Select Bid List , Engineered , Dean , P.M. ,5640,Awarded
202,18301 VK Suite 310 Expansion,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,7927,Lost
203,PLH Ed expansion,Placentia Linda, 441 OC , Fire Alarm , Select Bid List , Engineered , Dean , P.M. ,6500,Awarded
204,PLH Corridor upgrade,Placentia Linda, 441 OC , Fire Alarm , Select Bid List , Engineered , Dean , P.M. ,6100,Awarded
205,Rio Hondo College Tech. Mod.,Whittier, 11 LA , Fire Alarm , Select Bid List , Engineered , Dean , P.M. ,4950,Lost
207,POLB ITS New Addmin Access Control,Long Beach , 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,24488,Lost
208,Irvine CO Conf. Center,Newport Beach, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,480630,Lost
209,Equinox Fitness Club,Los Angeles, 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,6420,Lost
210,"Quest Diagnostic, San Juan Capistrano",San Juan Capo, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,1721291,Lost
212,CSULB PH2 2nd Floor Strobes,Long Beach , 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,2000,Awarded
214,HUCLA Surgery Low Voltage System,Torrance, 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,345700,Lost
215,LAX Bradley North & South Concourses,Los Angeles, 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,92300,Awarded
216,Casa Maria ,Pasadena, 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,1340,Lost
217,McKesson LADC Project,Chino, 440 RS , TI , Competitive , Engineered , Frank , Est. ,3053550,Lost
218,Cypress College FA,Cypress, 441 OC , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,4875,Lost
220,Young's Mkt. Co. Parking Lot Expansion,Tusin, 441 OC , TI , Select Bid List , Design/Build , Frank , Est. ,7384,Lost
221,POLA FA Renovation Project,San Pedro, 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,237920,Lost
222,1131 Calle Baitdo Metering,San Clement, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,48843,Lost
223,Quantum Burst Pits,Lake Forest, 441 OC , Comercial , Budget , Design/Build , Frank , Est. ,228461,Lost
224,6425 Katella EM Lighting Retro-Fit,Anaheim, 441 OC , TI , Negotiated , Engineered , Frank , Est. ,16531,Lost
225,Fulerton Community college,Fuler, 441 OC , Fire Alarm , Negotiated , Engineered , Jeff P. , Est. ,74100,Awarded
226,Air Treatment Facility,Los Angeles, 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,55900,Lost
227,Blvd 6200 North,Los Angeles, 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,956600,Lost
228,Pacific Life SW Quadrant Corporate IT Remodel,Newport Beach, 441 OC , TI , Competitive , Engineered , Frank , Est. ,78325,Awarded
229,Young's Market Chino Infrared Scan,Chino, 477 SB , Comercial , Select Bid List , Engineered , Jody , Est. ,4684,Lost
230,Etchandy Industrialo Complex II,Anaheim, 441 OC , TI , Competitive , Engineered , Frank , Est. ,11646,Lost
231,LAX Bradely CORE,Los Angeles, 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,105700,Awarded
0,Hoag Irvine Blood Lab,Irvine, 441 OC , Hospital , Negotiated , Design/ Assist , Jeff P. , Est. ,7300,Awarded
1,Ready At Dawn,Irvine, 441 OC , TI , Competitive , Engineered , Jody , Est. ,446000,Awarded
3,Cerritos College Gym - FA,Cerritos, 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,16900,Lost
6,Chevron FCC/Coker - Alky Hunter/Sulfur Acid,El Segundo, 11 LA , Fire Alarm , Negotiated , Engineered , Daniel , Est. ,75510,Awarded
7,Kaiser Tustin Ranch,Tustin, 441 OC , TI , Select Bid List , Engineered , Jeff P. , Est. ,3370212,Lost
8,Hoag Breast Center Renovation,Newport Beach, 441 OC , TI , Competitive , Design/Build , Jeff P. , Est. ,42306,Lost
9,Space X Cafeteria,Hawthorne, 11 LA , TI , Negotiated , Engineered , Frank , Est. ,354107,Awarded
10,Saddleback Church San Clemente,San Clemente, 441 OC , TI , Competitive , Engineered , Daniel , Est. ,357219,Lost
11,Mission Neuroschence Institution,Mission Viejo, 441 OC , Hospital , Competitive , Engineered , Rudy , Est. ,837055,Lost
12,Providence Speech and Hearing,Orange, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,18281,Awarded
13,Chet Holifield Federal Building,Orange, 441 OC , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,5660,Awarded
14,AAA LA Emergency Feed to Chiller #3,Los Angeles, 11 LA , Comercial , Negotiated , Design/Build , Frank , Est. ,63938,Lost
15,Thales 48 Discovery 1st Floor,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,141902,Lost
16,Thales 48 Discovery 2nd Floor,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,31327,Lost
17,Thales 58 Discovery ,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,72730,Lost
18,Thales 51 Discovery Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,186643,Awarded
19,Pacifica / Prominade Condominiums Stave Restaurant,Long Beach, 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,5200,Lost
21,Cerritos College Leberal Arts Bldg ,Newport Beach, 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,31850,Lost
22,UCI Verano Housing,Irvine, 441 OC , Fire Alarm , Public Works , Engineered , Daniel , Est. ,574390,Awarded
24,Kaiser Oceanside MOB,Ocean Side, 441 OC , Comercial , Select Bid List , Engineered , Jeff P. , Est. ,1318580,Awarded
25,FDA Steam Sterilizers,Irvine, 441 OC , Comercial , Negotiated , Design/ Assist , Frank , Est. ,29290,Awarded
26,Long Beach The Paradies Shops,Long Beach, 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,28100,Lost
29,HHHB T.I.,Huntington Beach, 441 OC , TI , Competitive , Engineered , Jody , Est. ,32673,Lost
30,FBI Generator Tap Box,Orange, 441 OC , Specialty , Budget , Design/Build , Ron , P.M. ,49400,Lost
34,GKN Aerospace Hook Up Oven,Garden Grove, 441 OC , Comercial , Negotiated , Design/Build , Frank , Est. ,11340,Lost
35,Hoag Irvine Café Lighting Upgrade,Irvine, 441 OC , Hospital , Budget , Design/Build , Bill , P.M. ,9256,Awarded
38,Irvine Valley College,Irvine, 441 OC , Comercial , Negotiated , Design/Build , Frank , Est. ,956258,Awarded
40,CSUF Elevator Control Room Interface,Fullerton, 441 OC , Fire Alarm , Competitive , Engineered , Daniel , Est. ,1500,Awarded
41,Tustin Legacy Fire Station,Tustin, 441 OC , Comercial , Public Works , Engineered , Jody , Est. ,589774,Lost
43,Cedar-Sinai 8th Floor Pathology Lab,Los Angeles, 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , P.M. ,13100,Lost
44,Placentia Linda Ed Expansion ,Placentia, 441 OC , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,5700,Awarded
46,Dependable Server Room Fire Suppression System,Los Angeles, 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,7630,Lost
47,Pacific Life New Facilities / Security Office,Newport Beach, 441 OC , TI , Competitive , Engineered , Daniel , P.M. ,48750,Lost
48,Pacific Life New Prep Kitchen,Newport Beach, 441 OC , TI , Competitive , Engineered , Frank , Est. ,18296,Awarded
49,Pacific Life South East Quadrant,Newport Beach, 441 OC , TI , Competitive , Engineered , Frank , Est. ,20184,Awarded
50,"Young's Market Co, Tustin & Tustin II",Tustin, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,30200,Awarded
51,Hoag Hospital Ancillary Building & 1st Floor Fire Alarm Upgrade,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Jeff P. , Est. ,171100,Awarded
52,Praxiar Sprinkler Monitoring,Sant Ana, 441 OC , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,1890,Lost
53,POLA Maersk Pier 400 FA Renovation,LA, 11 LA , Fire Alarm , Select Bid List , Engineered , Daniel , Est. ,309240,Awarded
54,Hoag 5 East CPOE,Newport Beach, 441 OC , Hospital , Negotiated , Design/Build , Jeff P. , Est. ,13800,Awarded
55,Pacific Life Offices 7065-7068,Newport Beach, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,2824,Lost
56,Pacific Life Offices 400-401,Newport Beach, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,2824,Lost
57,Technicolor Demo,Glendale, 11 LA , TI , Budget , Design/Build , Frank , Est. ,79050,Lost
59,Baxter LA Tear Down Area Camera Project,Los Angeles, 11 LA , Comercial , Negotiated , Design/Build , Frank , Est. ,9020,Lost
60,Hemet Valley Cath Lab,Hemet, 440 RS , Hospital , Select Bid List , Engineered , Jeff P. , Est. ,1102550,Lost
61,Hoag 9th & 3rd Security Doors,Newport Beach, 441 OC , Hospital , Select Bid List , Design/Build , Jeff P. , Est. ,11886,Lost
64,Kaiser Behavioral Health,Thousnad  Oaks, 11 LA , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,39250,Awarded
66,Saddleback Hospital MRI FA,Laguna Hills, 441 OC , Fire Alarm , Select Bid List , Design/Build , Ron , P.M. ,2860,Lost
67,Getty Fire Alarm,Los Angeles, 11 LA , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,163215,Lost
68,Equinix Lighting Protection,El Segundo, 11 LA , Specialty , Select Bid List , Engineered , Jeff P. , Est. ,10440,Lost
70,EnerPath Lighting Retrofits,Los Angeles, 11 LA , Specialty , Competitive , Engineered , Jeff P. , Est. ,100000,Lost
72,XO-Communications,San Diego, 441 OC , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,7780,Lost
73,Q-Logic Aliso Viejo,Aliso Viejo, 441 OC , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,1130,Lost
74,CHLA Linear Accelerator,Los Angeles, 11 LA , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,21625,Lost
76,FVUSD Solar,Fountain Valley, 441 OC , Specialty , Negotiated , Engineered , Frank , Est. ,1146604,Lost
77,Fox Head EV Station,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Jeff P. , Est. ,13560,Lost
78,Hoag Health Center HB Core & Shell,Huntington Beach, 441 OC , Shell , Competitive , Engineered , Jeff P. , Est. ,688157,Lost
79,One Fanta Fee Telecom,LA, 11 LA , Shell , Select Bid List , Design/Build , Ron , P.M. ,2965398,Lost
80,Baxter Frac Cameras,Los Angeles, 11 LA , Industrial , Negotiated , Design/Build , Frank , P.M. ,9720,Awarded
81,GSA Heat Pumps,Orange, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,8232,Lost
83,HHI - washer & dryer installation,Irvine, 441 OC , Hospital , Select Bid List , Engineered , Bill , P.M. ,10800,Awarded
84,HHI - LED Lighting Upgrade,Irvine, 441 OC , Hospital , Budget , Design/Build , Bill , P.M. ,10765,Lost
85,IBI Group Improvements,Irvine, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,10240,Awarded
86,Pacific Life Grd Flr. Lighting Retro-fit,Newport Beach, 441 OC , TI , Negotiated , Engineered , Frank , Est. ,51208,Awarded
87,PIMCO Package #1,Newport Beach, 441 OC , TI , Select Bid List , Engineered , Jeff P. , Est. ,1269870,Awarded
88,PIMCO Package #2,Newport Beach, 441 OC , TI , Select Bid List , Engineered , Jeff P. , Est. ,3610900,Lost
89,PIMCO Package #3,Newport Beach, 441 OC , TI , Select Bid List , Engineered , Jeff P. , Est. ,3958900,Awarded
90,PIMCO Package #4,Newport Beach, 441 OC , TI , Select Bid List , Engineered , Jeff P. , Est. ,1626800,Awarded
91,PIMCO Package #5 &6,Newport Beach, 441 OC , TI , Select Bid List , Engineered , Jeff P. , Est. ,3769600,Lost
92,PIMCO Gym,Newport Beach, 441 OC , TI , Select Bid List , Engineered , Jeff P. , Est. ,349796,Lost
95,UCI Sue & Bill Gross Hall 4th Flr. Build-Out,Irvine, 441 OC , TI , Select Bid List , Design/Build , Frank , Est. ,675221,Lost
96,Baxter Boiler Upgrade,Los Angeles, 11 LA , Industrial , Competitive , Design/Build , Frank , Est. ,31717,Lost
97,Baxter Comjpressed Air Upgrade,Los Angeles, 11 LA , Industrial , Competitive , Design/Build , Frank , Est. ,166569,Lost
98,Pacific Life Antenna Conduits,Newport Beach, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,14264,Awarded
99,Pacific Life Repolace MCC Bucket,Newport Beach, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,3766,Awarded
101,UC Path Center,Riverside, 440 RS , TI , Select Bid List , Design/Build , Frank , Est. ,1127504,Awarded
102,Chapman Moulton Dimmer Replacement,Orange, 441 OC , TI , Negotiated , Design/Build , Doyle , S.P. ,788,Awarded
103,Big Bear Street Lighting,Big Bear Lake, 477 SB , Site , Budget , Engineered , Doyle , S.P. ,122730,Lost
104,Whittier Hospital rebid,Whittier , 11 LA , Hospital , Select Bid List , Engineered , Doyle , S.P. ,979100,Lost
106,OCC Sign Lighting,Costa Mesa, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,7969,Awarded
107,Space X Office Tower/Xfer Tube/Dragon Weld,Hawthorne, 11 LA , TI , Select Bid List , Engineered , Frank , Est. ,336499,Awarded
108,Time Warner plotter outlets,Anaheim, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,947,Awarded
111,LRS LA 3rd Floor,Norwalk, 11 LA , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,29780,Awarded
112,Bbraun New compressors Excell Saddlemold,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,8686,Lost
113,Baxter Air Lock 246,Los Angeles, 441 OC , TI , Negotiated , Design/Build , Frank , P.M. ,6718,Lost
114,17332 Gothard,Huntington Beach, 441 OC , Comercial , Competitive , Design/Build , Jeff P. , Est. ,591200,Lost
115,PLH Equipment upgrade mech. Room,Placentia, 441 OC , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,3010,Awarded
117,SpaceX Wilkie Sheet Metal Shop Relocation,Hawthorne, 11 LA , Comercial , Negotiated , Design/Build , Frank , Est. ,147223,Lost
118,Hoag West Tower Cosmetic Upgrade,Newport Beach, 441 OC , Hospital , Select Bid List , Design/Build , Jeff P. , Est. ,190810,Lost
119,Westfield Office Relocation,LA, 11 LA , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,49320,Lost
120,Youngs Market Office furniture connection,Tustin, 441 OC , TI , Negotiated , Design/Build , Doyle , S.P. ,987,Awarded
123,Epson Carson Lighting Contactor,Carson, 441 OC , TI , Competitive , Design/Build , Doyle , S.P. ,844,Lost
124,Epson Data Mail Room,Long Beach, 11 LA , TI , Negotiated , Design/Build , Frank , Est. ,20040,Lost
125,2000 Ave of Stars Outage,Los Angeles, 11 LA , TI , Negotiated , Design/Build , Doyle , S.P. ,2380,Awarded
126,Move Cubical Power Time Warner,Ontario, 441 OC , TI , Negotiated , Design/Build , Doyle , S.P. ,1300,Awarded
127,Trace underground Belmont Plaze,Long Beach, 441 OC , Site , Select Bid List , Design/ Assist , Doyle , S.P. ,1995,Awarded
128,California Stem Cell Temp Generator,Irvine, 441 OC , Site , Negotiated , Design/Build , Doyle , S.P. ,3800,Lost
129,Microwave Circuit Tracy Hughes,Laguna Niguel, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,965,Awarded
130,BBM BTC Demo,Irvine, 441 OC , TI , Select Bid List , Design/ Assist , Frank , P.M. ,81167,Lost
131,Newport gateway FAConduit,New Port, 441 OC , Fire Alarm , Negotiated , Engineered , Ron , P.M. ,11950,Awarded
132,Big Bear Service Upgrade,Big Bear Lake, 441 OC , Site , Budget , Design/Build , Doyle , S.P. ,81650,Awarded
135,18201 Von Karmian 7th & 8th Flr. Restrooms,Irvine, 441 OC , TI , Competitive , Engineered , Frank , P.M. ,14384,Awarded
136,TW Ice machine circuit and tombstone relocate,Ontario, 441 OC , TI , Competitive , Design/Build , Doyle , S.P. ,1590,Awarded
140,Newport Lido Canopy LED retrofit,Newport Beach, 441 OC , TI , Budget , Design/Build , Doyle , S.P. ,10000,Awarded
141,Bbraun Cooling Tower #5 Replacement,Irvine, 441 OC , Industrial , Select Bid List , Engineered , Doyle , S.P. ,93697,Lost
143,EMC2 Starline buss display repair,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1200,Awarded
144,EMC2 Four new buss runs,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,89552,Awarded
146,Epson Replace poke through units,Long Beach, 11 LA , TI , Negotiated , Design/Build , Doyle , S.P. ,2600,Awarded
147,First American HFC125 Discharge,Santa Ana, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,10000,Awarded
148,Bbraun PIC control panel relocation,Irvine, 441 OC , Industrial , Select Bid List , Design/ Assist , Doyle , S.P. ,2460,Awarded
149,Core Logic building IR scan,Santa Ana, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,14380,Awarded
150,Epson Long Beach replace screen,Long Beach, 11 LA , TI , Negotiated , Design/ Assist , Doyle , S.P. ,740,Awarded
151,Tmobile Power Pole install,Cerritos, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,2400,Awarded
153,"Baxter B5, Materail Lift Project",Los Angeles, 441 OC , Industrial , Negotiated , Design/Build , Frank , Est. ,88924,Awarded
154,"4100 NPD, Spec Suite 760",Newport Beach, 441 OC , TI , Competitive , Engineered , Frank , Est. ,4520,Lost
155,Riverside Community Hospital Pharmacy,Riverside, 440 RS , Hospital , Competitive , Engineered , Doyle , S.P. ,124600,Lost
156,Bbraun Excell Husky #1 Relocation,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Doyle , S.P. ,17373,Lost
157,Kareo,Irvine, 441 OC , Fire Alarm , Negotiated , Engineered , Ron , P.M. ,16850,Awarded
159,Pacific Life IRS Room,Newport Beach, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,3346,Awarded
160,Chapman LED retrofit,Orange, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,15000,Awarded
161,Charlies Locker Lighting Repair,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,750,Awarded
163,Marriott Hotel Torrance,Torrance, 11 LA , Fire Alarm , Competitive , Engineered , Ron , P.M. ,525000,Lost
164,Berkley Point Server Room,Irvine, 441 OC , TI , Negotiated , Design/Build , Doyle , S.P. ,300,Awarded
167,College Hospital Service Replacement,Costa Mesa, 441 OC , Hospital , Competitive , Engineered , Doyle , S.P. ,118970,Awarded
168,Baxter Frac Buffer Outlets,Los Angeles, 11 LA , Comercial , Negotiated , Design/Build , Frank , Est. ,42968,Lost
169,Derian Service Upgrade,Irvine, 441 OC , Comercial , Budget , Design/Build , Frank , Est. ,79104,Lost
170,FDA Parking Lot,Irvine, 441 OC , Comercial , Competitive , Engineered , Frank , Est. ,53327,Lost
171,Quest San Clement AC Heat strip upgrade,San Clemente, 441 OC , TI , Negotiated , Design/Build , Doyle , S.P. ,6827,Awarded
172,P13022  HOI - PHARMACY WORK ROOM EXPANSION,Irvine, 441 OC , Hospital , Budget , Design/Build , Bill , P.M. ,7381,Lost
175,Costar,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,280568,Awarded
176,Hoag 4th Floor ICU F/A Strobes,Newport Beach, 441 OC , Hospital , Budget , Engineered , Bill , P.M. ,17395,Lost
178,Newport Lido Major Improvement Budgetary Values,Newport Beach, 441 OC , TI , Budget , Design/Build , Doyle , S.P. ,940400,Lost
179,FDA Flood Repairs,Irvine, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,10560,Lost
180,La Verne Lift Station raceways,La Verne, 11 LA , Site , Select Bid List , Design/ Assist , Doyle , S.P. ,15660,Awarded
181,5 Building GFCI Recertification,Lake Forest, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,6985,Lost
182,Deutche Bank IR Scan,Santa Ana, 441 OC , TI , Negotiated , Design/ Assist , Doyle , S.P. ,3900,Awarded
185,Vandalism repairs Von Karman,Irvine, 441 OC , TI , Competitive , Design/Build , Doyle , S.P. ,32000,Awarded
186,MOCA ,LA, 11 LA , Fire Alarm , Competitive , Engineered , Ron , P.M. ,105500,Lost
187,533 S. Fremont LA FA upgrade,LA, 11 LA , Fire Alarm , Competitive , Engineered , Ron , P.M. ,30600,Lost
188,Comerica Bank Costa Mesa 4 floor TI,Costa Mesa, 441 OC , TI , Competitive , Engineered , Doyle , S.P. ,59995,Lost
189,Baxter Shut down work,Los Angeles, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,15500,Awarded
190,St Pauls Greek Orthadox Exit Sign replacement,Irvine, 441 OC , TI , Negotiated , Design/Build , Doyle , S.P. ,1850,Awarded
192,Space X Tower Clean Line Feeder Relocation,Hawthorne, 11 LA , TI , Negotiated , Design/Build , Frank , Est. ,12641,Awarded
194,LAX Bradley West Renovation,LA, 441 OC , Fire Alarm , Competitive , Design/ Assist , Ron , P.M. ,120000,Lost
197,Alhambra Filterra pump installation,Alhambra, 11 LA , Site , Competitive , Design/ Assist , Doyle , S.P. ,6500,Lost
198,B/Braun Platform Demo,Irvine, 11 LA , Industrial , Competitive , Engineered , Doyle , S.P. ,20000,Lost
199,Pacific Life Install VFD on AH 3 & 4,Newport Beach, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,1410,Lost
201,YMCO Relocate Server Room Door,Tustin, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,934,Lost
202,Baxter WIFI Stairwell Project,Los Angeles, 11 LA , Industrial , Competitive , Design/Build , Doyle , S.P. ,59727,Lost
204,Chapman Fountain underwater light replacment,Orange, 441 OC , Site , Negotiated , Design/Build , Doyle , S.P. ,3500,Lost
205,Chapman Knott Studio LED high bay replacement,Orange, 441 OC , TI , Negotiated , Design/Build , Doyle , S.P. ,4480,Awarded
207,Chevron Training Facility,El Segando, 11 LA , Industrial , Select Bid List , Design/Build , Ron , P.M. ,80250,Lost
208,Pac Life Audit Room,Newport Beach, 441 OC , TI , Negotiated , Engineered , Frank , Est. ,18405,Lost
209,Title 365 T.I.,Glendale, 11 LA , TI , Select Bid List , Design/Build , Frank , Est. ,12761,Awarded
210,Inland Empire Health Plan,Rancho Cucamo, 477 SB , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,105000,Awarded
211,EMC2 60' new Chatsworth Cable tray,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,3786,Awarded
213,Hoag Special Proceedure Room,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Doyle , S.P. ,5693,Lost
214,Kyocera  New Compressor Circuit,Costa Mesa, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,16335,Lost
215,Hoag ED stairwell lighting replacement,Newport Beach, 441 OC , Hospital , Select Bid List , Design/Build , Bill , P.M. ,7950,Awarded
216,Epson Infrared Scan for Carson Facility,Carson, 441 OC , Specialty , Select Bid List , Design/Build , Doyle , S.P. ,2400,Awarded
217,TEVA Sterilizer Replacement,Irvine, 441 OC , Industrial , Competitive , Design/ Assist , Rudy , Est. ,2450,Lost
218,Chapman cypress Parking Conduit Replacement,Orange, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,8983,Lost
219,Fountain of Life Phase 1A - Addition & Renovation,La Mirada, 11 LA , TI , Competitive , Engineered , Rudy , Est. ,182000,Lost
220,Dr. Thai & Shellyey Relocation,Huntington Beach, 441 OC , TI , Competitive , Engineered , Frank , Est. ,46356,Awarded
221,Beach Family Doctors TI,Huntington Beach, 441 OC , TI , Competitive , Engineered , Doyle , S.P. ,21800,Lost
222,OCC Theater Lamp replacement,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,2987,Awarded
223,Baxter-Blgd # Doc Vault Room,LA, 11 LA , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,7990,Awarded
224,City National Bank - 2nd Floor,LA, 11 LA , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,78200,Awarded
225,Epson Long Bch Lighting circuit room 2503,Long Beach, 11 LA , TI , Negotiated , Design/Build , Doyle , S.P. ,700,Awarded
226,Newport Lido Basement Budget,Newport Beach, 441 OC , TI , Negotiated , Design/Build , Doyle , S.P. ,84290,Awarded
227,"Suite 140, 17542 E. 17th St., Tustin",Tustin, 441 OC , TI , Budget , Design/ Assist , Rudy , Est. ,15675,Lost
228,Endologix Tenant Improvement,Irvine, 441 OC , TI , Competitive , Design/ Assist , Rudy , Est. ,580700,Lost
229,Epson War room power,Long Beach, 441 OC , TI , Negotiated , Design/Build , Doyle , S.P. ,1540,Awarded
230,EMC2 Dupont new outets,Anaheim, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,2488,Awarded
231,Bbraun Can Line power for line modification,Irvine, 441 OC , Specialty , Select Bid List , Design/Build , Doyle , S.P. ,18906,Awarded
233,UCI Intercollegiate Athletics Building FA,Irvine, 441 OC , Fire Alarm , Select Bid List , Engineered , Rudy , Est. ,103800,Awarded
234,Newport Lido Fertility Lab Power modificatons,Newort Beach, 441 OC , TI , Negotiated , Design/Build , Doyle , S.P. ,1800,Awarded
235,OCC Welding Shop renovatoin,Costa Mesa, 441 OC , Comercial , Budget , Design/Build , Doyle , S.P. ,30000,Lost
236,"HHB MOB 1st Floor TI, Imaging & Clinic",Huntington Beach, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,567000,Awarded
237,Chevron Lab/Clinic,El Segundo, 11 LA , Fire Alarm , Select Bid List , Design/ Assist , Ron , P.M. ,178000,Lost
238,Bbraun Animal Lab Demo,Irvine, 441 OC , TI , Competitive , Design/Build , Doyle , S.P. ,10000,Lost
239,"COSTAR - 2"" IT CONDUIT",Irvine, 441 OC , TI , Competitive , Design/ Assist , Bill , P.M. ,2821,Awarded
240,AMO FA Replacment,Santa Ana, 441 OC , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,25250,Lost
241,Space X Shaker Room Upgrades & Expansion,Hawthorne, 11 LA , Industrial , Budget , Engineered , Frank , Est. ,56583,Awarded
242,Ready at Dawn Exit sign and modular whips,Irvine, 441 OC , TI , Negotiated , Design/Build , Doyle , S.P. ,1325,Awarded
