Est. #,Project Name, ,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid , Cost SF ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
20-085,Tesla T&M proposal,T&M proposal for customer directed,,San Diego,CA, 441 OC ,, TI , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,12/5/2019," $74,750 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-086,ELS HVC Bldg. Cleanroom Workstations,Clean Room Improvements,1435 McGaw Ave.,Irvine,CA, 441 OC ,, Industrial , Negotiated , Engineered , Frank , Est. , CA ,12/13/2019," $28,271 ",,,,,,,,15.00%,10.00%,,Awarded,100%, $- ,12/23/2019,1/3/2020,,J-20-074,,,Vertical,J. Borden,Vertical,J. Borden,,,,,,,,,NEC," $27,000 ",Berg, $- ,,,,,,,,,
20-087,AAA Redlands Cubical modifications,Modify power to cubical set up,,Redlands,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/12/2019," $2,980 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-088,AAA Parking Lot power repair,Repair for parking lot power,3333 Fairview Rd,Costa Mesa,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/17/2019," $3,987 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-089,Newport Lido Suite 110 troubleshoot,Troubleshoot power issue,351 Hospital Rd.,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/17/2019, $500 ,, $750 ,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-090,AAA Costa Mesa Restack 2nd floor Bld A,Restack Bld A 2nd floor,3333 Fairview Rd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/20/2019," $7,422 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-091,Innovation Park Phase 2,5 new ground up 2-story buildings & site,200-250 Ascend,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Engineered , Don V , Est. , CA ,1/6/2020," $4,262,459 ",,,,,,,,15.00%,5.00%,,Bidding,, $- ,,,,,,,,,Snyder Langston,C. Voros,,,,,,,,,,,,,,,,,,,,,
20-092,Barlow Respiratory Hospital Make Ready TI,OSHPD Tenant Improvement,2000 Stadium Way,Los Angeles,CA, 11 LA ,, Hospital , Select Bid List , Engineered , Josh  , Est. , CA ,2/17/2020," $367,207 ",," $(1,482)",,,,,,15.00%,5.00%,,Awarded,, $- ,,,,,,,,,Snyder Langston,Kevin Zhu,,,,,,,,,,,,,,,,,,,,,
20-093,Memorial Care New Sensor lights,New exterior light fixtures,17360 Brookhurst,Fountain Valley,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/27/2019," $8,057 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-094,Blizzard B7 F2 Sound Room,Tenant Improvement,16271 Laguna Canyon Rd.,Irvine,CA, 441 OC ," 1,044 ", TI , Budget , Engineered , Frank , Est. , CA ,1/3/2020," $56,937 ", $54.54 ," $20,702 "," $2,610 ", $600 ,,,,15.00%,5.00%,,Pending,50%," $28,469 ",,,,,,,,,HBC,K. Mulcahy,,,,,,,,,,,,,,,,,,,,,
20-095,Memorial Care FV Coffee Pot power,2 new circuits for coffee pots,17360 Brookhurst,Fountain Valley,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/3/2020," $2,433 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-096,PIMCO 5trh floor restack,New 6 pack for 5th floor,650 Newport Center Dr,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/6/2020," $8,468 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-097,AAA Tustin new outlet for sign,New outlet and switch for sign,15601 Mosher,Tustin,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/6/2020," $1,980 ",, $800 ,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-098,PIMCO Electrical Load Reallocation,Rework existing Busduct,650 Newport Center Dr,Newport Beach,CA, 441 OC ,, Comercial , Select Bid List , Design/ Assist , Don V , Est. , CA ,1/14/2020,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-099,Mazda 2 new circuits for cubical whip,New circuits for cubical whip,1421 Renyolds ,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/7/2020," $1,844 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-100,Safran,Tenant Improvement,1833 Alton Parkway,Irvine,CA, 441 OC ," 25,000 ", TI , Budget , Engineered , Frank , Est. , CA ,1/7/2020," $316,395 ", $12.66 ," $42,000 "," $6,000 ",,,,,,,,Pending,30%," $94,919 ",,,,,,,,,HBC,K. Mulcahy,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,
20-101,Ice Rinks skate shappener circuit,New power for skate shappener,888 Ridge Valley,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/9/2020," $2,268 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-102,Thales R&R Light panels,R&R 150 light panels,58 Discovery ,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/9/2020," $22,800 ",," $2,250 ",,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-103,Aerobotix RAFS 11 Northrop Grumman,Robotic System Conduit and Wiring,3520 East.Ave M,Palmdale,CA, 11 LA ,, Industrial , Select Bid List , Design/ Assist , Gary , S.P. , CA ,1/16/2020," $77,045 ",," $4,400 ",,,,,,,,,Awarded,, $- ,,,,J-20-086,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-104,AAA Montrose temp genset,Connect CF temp genset,2112 Montrose Ave.,Montrose,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/14/2020," $2,970 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-105,AAA LA Record Retention cubical power,Power for relocated cubical,2601 S. Figueroa,Los Angeles,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/14/2020," $3,488 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-106,AAA LA Club Labs 2 new circuits,2 new circuits and outlet for AV rack,2601 S. Figueroa,Los Angeles,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/14/2020," $2,977 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-107,Thales 2 days T&M Quote,2 days T&M connect cubicals,58 Discovery ,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/14/2020," $5,500 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-108,Edwards Lifesciences,Restroom Auto Sink Power,1 Edwards Way,Irvine,CA, 441 OC ,, Comercial , T&M NTE , Design/ Assist , Gary , S.P. , CA ,1/15/2020," $1,979 ",,,,,,,,,,,Awarded,, $- ,1/18/2020,1/20/2020,,J-20-088,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-109,Edwards Lifesciences,Clean Room Added Recps.,1 Edwards Way,Irvine,CA, 441 OC ,, Comercial , T&M NTE , Design/ Assist , Gary , S.P. , CA ,1/15/2020," $7,327 ",,,,,,,,,,,Awarded,, $- ,1/18/2020,1/20/2020,,J-20-087,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-110,Edwards Lifesciences,Repair Clean Room Light Fixture,1 Edwards Way,Irvine,CA, 441 OC ,, Comercial , T&M NTE , Design/ Assist , Gary , S.P. , CA ,1/15/2020," $1,457 ",,,,,,,,,,,Awarded,, $- ,N/A,N/A,,J-20-085,,,,,,,,,,,,,,,,,,,,,,,,,,,Light fixture was working fine after all…..
20-111,Blizzard B16 Audit,Audit open space @ Bldg. B16,16253 Laguna Canyon,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/ Assist , Don V , Est. , CA ,1/15/2020,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-112,Youngs Laguna clean up misc wiring,Clean up obsolete wiring,2321 S. Coast Hwy,Laguna Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/15/2020," $3,670 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-113,Spectrum Terrace Phase 3,6 new ground up office Bldgs and site,17700-17900 Laguna Canyon,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Engineered , Don V , Est. , CA ,2/4/2020," $8,793,210 ",,,,,,,,14.00%,3.00%,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-114,B-Braun Medical,Main Corr. Mens-Womens RR Lighting,2525 McGaw Avenue,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Gary , S.P. , CA ,1/7/2020," $20,687 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-115,B-Braun Medical,Receiving Area Mens-Womens RR Ltg.,2525 McGaw Avenue,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Gary , S.P. , CA ,1/7/2020," $11,392 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-116,B-Braun Medical,Recps. for Emergency Bug-Eye Lights,2525 McGaw Avenue,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/ Assist , Gary , S.P. , CA ,1/7/2020," $15,696 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-117,B-Braun Medical,PIC Conveyor Diverter Accumulator,2525 McGaw Avenue,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/ Assist , Gary , S.P. , CA ,1/20/2020," $20,520 ",,,,,,,,,,,Prospect,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-118,"HHNB 510 Superior MRI, PET/CT & Radiology",OSHPD Tenant Improvement,One Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Josh  , Est. , CA ,2/5/2020," $207,769 ",," $16,915 ",,,,,,,,,Pending,50%," $103,885 ",,,,,,,,,HBC,Genevieve,HDC,Phil Paradiso,,,,,,,,,,,,,,,,,,,
20-119,Mazda add power for 2 new AC units,4 circuits for 2 split systems,1421 Renyolds Ave,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/23/2020," $6,998 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-120,AAA Centinela Power outage temp genset,Connect temp genset,1234 Centinela Ave.,Inglewood,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/23/2020," $2,970 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-121,B-Braun Medical,CSA UL Issue List for Kiefel KSM & KST,2525 McGaw Avenue,Irvine,CA, 441 OC ,, Specialty , Select Bid List , Design/ Assist , Gary , S.P. , CA ,1/24/2020," $21,772 ",," $1,885 "," $2,661 ",,,,,,,,Awarded,, $- ,,,,J-20-094,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-122,B-Braun Medical,"Feeder, Panel, (2) XFMR's--KIT 53 & Filler",2525 McGaw Avenue,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Tyler , S.P. , CA ,3/9/2020," $57,107 ",,,,,,,,,,,Bidding,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-123,HHNB East Tower Medical Records & Lobby Reno,OSHPDTenant Improvement,One Hoag Drive,Newport Beach,CA, 441 OC ," 1,108 ", Hospital , Competitive , Engineered , Frank , Est. , CA ,1/24/2020,,,,,,,,,15.00%,5.00%,,Bidding,50%, $- ,,,,,,,,,So. Coast Contrs.,D. Churnock,,,,,,,,,,,,,,,,,,,,,
20-124,B-Braun Medical,Temp Power for KIT 53---Filler Units,2525 McGaw Avenue,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/ Assist , Gary , S.P. , CA ,1/29/2020," $14,583 ",,,,,,,,10.00%,5.00%,,Awarded,, $- ,2/3/2020,,2/3/2020,J-20-096," $14,582 ",,,,,,,,,,,,,,,,,,,,,,,,,,
20-125,AAA LA Add wall outlet,Add wall outlet ,2601 S. Figueroa,Los Angeles,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/29/2020," $3,290 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-126,B-Braun Medical,Tray Unloaders Fed From 2 Locations,2525 McGaw Avenue,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Gary , S.P. , CA ,1/30/2020," $85,148 ",,,,,,,,10.00%,5.00%,,Awarded,75%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-127,Blizzard B4 to B18 Intertie,"(1) 4"" 260' Intertie (Boring)",16277 Laguna Canyon,Irvine,CA, 441 OC ,, Site , Budget , Design/ Assist , Todd L , P.M. , CA ,1/30/2020,"$50,392 ",,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-128,AAA Print Room Humidifier Power,480 volt 35 amp humidifier power,3333 Fairview Rd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/2/2020," $3,187 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-129,AAA Conf room 456 EOC power,3 circuits to EOC for new layout,3333 Fairview Rd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/2/2020," $4,988 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-130,AAA Power for Trophy Case in hall area,circuit and outlet for trophy case,3333 Fairview Rd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/2/2020," $2,740 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-131,B-Braun Medical - Control Panels for SIM,"Add raceway, wire and duplex rec for unit",2525 McGaw Avenue,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Tyler , S.P. , CA ,2/3/2020," $11,234 ",,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-132,OCC Techonolgy Building TI work,Design Build for area TI,2601 Fairview,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,, $- ,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-133,Edwards Life Science - Added Rec for LFS Chiller Yard,Tenent Improvememnt,1 Edwards Way,Irvine,CA, 441 OC ,, Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,2/4/2020," $3,493 ",,,,,,,,15.00%,5.00%,,Pending,75%," $2,620 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-134,B-Braun Purified Water System Upgrades,Water system upgrades,2525 McGaw Avenue,Irvine,CA, 441 OC ," 3,500 ", TI , Select Bid List , Engineered , Josh  , Est. , CA ,2/27/2020," $475,678 ",,,,,,,,15.00%,5.00%,,Lost,33%, $- ,,,,,,,,,DPR,Jason Bartle,,,,,,,,,,,,,,,,,,,,,
20-135,B.Braun Quadrel Labeling Unit,Tenenant Improvement,2526 McGaw Avenue,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Tyler , S.P. , CA ,2/6/2020," $8,665 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-136,AAA Long Beach outlets for monitors,New outlets and data stub for monitors,4800 Airport Plaza Dr.,Long Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/6/2020," $1,988 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-137,Lakeshore IR scan for each building,IR scan for each building,18155 Von Karman,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/7/2020," $31,740 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-138,Blizzard B21- Conduit Re-route,Irvine company issue,8 Pasteur,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Jeff S , P.M. , CA ,2/7/2020,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-139,URP PHASE 9,7 ground up Bldg.and site,Academy Dr.,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Engineered , Don V , Est. , CA ,2/17/2020," $13,714,559 ",,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-140,Ovation Clinic Lido Electrical Design,Design for TI,361 Hospital Rd,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/14/2020,,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-141,Go For Law circuits for cubical feed connection,2 new circuits for cubical connection,18101 Von Karman,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/14/2020," $1,478 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-142,City of Pamona Load Studies,1 to 5 load studies,,Pomona ,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/14/2020," $6,000 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-143,B.Braun Medical,Tenant Improvements - Forklift area,2525 McGaw Avenue,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Tyler , S.P. , CA ,2/14/2020," $18,101 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-144,OCC Feeder to Archectural Containers,Power feeder and lights,2701 Fairview Rd,Costa Mesa,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/24/2020," $35,277 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-145,Spectrum Cerritos 8th floor,Add outlet in ceiling on 8th floor,17777 Town Center,Cerritors,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/17/2020, $800 ,,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-146,B-Braun Medical,Tenant Improvemants - Locker Addition,2525 McGaw Avenue,Irvine,CA, 441 OC ,, TI , Competitive , Design/ Assist , Tyler , S.P. , CA ,2/17/2020," $16,303 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-147,AAA Costa Mesa Photo remodel,Remodel Photo area with GC,3333 Fairview Rd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/17/2020," $4,860 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-148,AAA Costa Mesa Harbor Award Wall,New light for award wall,Harbor Blvd,Costa Mesa,, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/19/2020," $1,487 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-149,"HHNB Conference Center TI Floors 1, 2 & 3",Tenant Improvement,3900 Pacific Coast Highway,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Engineered , Josh  , Est. , CA ,2/21/2020," $352,447 ",,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-150,B-Braun Medical ,Tenant Improvement - Stability Chambers,2525 McGaw Avenue,Irvine,CA, 441 OC ,, Industrial , Competitive , Design/Build , Tyler , S.P. , CA ,2/19/2020," $19,064 ",," $2,944 ",,,,,,15.00%,5.00%,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-151,Edwards Lifesciences,Tenant Improvement - Vacuum Pwr Rec,1 Edwards Way,Irvine,CA, 441 OC ,, Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,2/21/2020," $2,661 ",,,,,,,,20.00%,10.00%,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-152,Edwards Lifesciences,Tenant Improvement - UPS Relocation,1 Edwards Way,Irvine,CA, 441 OC ,, Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,2/21/2020," $1,778 ",,,,,,,,20.00%,10.00%,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-153,Edwards Lifesciences,Tenant Improvement - Roofttop lighting,1 Edwards Way,Irvine,CA, 441 OC ,, Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,2/21/2020,,,,,,,,,15.00%,5.00%,,Prospect,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-154,B-Braun Medical,Tenant Improvemants- Cubicles S. Corridor,2525 McGaw Avenue,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Tyler , S.P. , CA ,2/21/2020," $13,118 ",,,,,,,,15.00%,5.00%,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-155,Kabafusion new cubical whip power,New cubical whip power,17777 Town Center suite 550,Cerritos,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/21/2020," $3,488 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-156,Edwards Lifesciences,Tenenant Improvement - Added Utlilty rec,1 Edwards Way,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Tyler , S.P. , CA ,2/28/2020," $34,255 ",,,,,,,,15.00%,5.00%,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-157,"HHNB GI Labs Rm. 2102, #4.5 & Rm 2080 #6",OSHPD Tenant Improvement,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Josh  , Est. , CA ,3/5/2020," $284,578 ",,,,,,,,,,,Bidding,50%, $- ,,,,,,,,,So. County Contrs.,D. Churnock,,,,,,,,,,,,,,,,,,,,,
20-158,B-Braun Medical,Tenant Improvement - BLDG 20801,2525 McGaw Avenue,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Tyler , S.P. , CA ,2/26/2020," $10,036 ",,,,,,,,15.00%,5.00%,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-159,B-Braun Medical,Tenant Improvement - Main Office Lighting,2525 McGaw Avenue,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Tyler , S.P. , CA ,2/27/2020," $4,748 ",,,,,,,,15.00%,5.00%,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-160,B-Braun Medical,Tenant Improvements - Drafting area Rec's,2525 McGaw Avenue,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Tyler , S.P. , CA ,2/27/2020," $1,766 ",,,,,,,,15.00%,5.00%,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-161,B-Braun Medical,Tenant Improvement - Integrated Interiors,2525 McGaw Avenue,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Tyler , S.P. , CA ,3/2/2020," $17,533 ",,,,,,,,15.00%,5.00%,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-162,Baxter Irvine Conair Puller Cutter modification,Add outlet on wall and outlet,Armstrong,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/2/2020," $1,500 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-163,Edwards Life Sciences,Tenant Improvement - L6-30 add in IDF,2525 McGaw Avenue,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Tyler , S.P. , CA ,3/2/2020," $1,264 ",,,,,,,,15.00%,5.00%,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-164,Edwards Life Sciences,Labor Agreement Contract,,,,,,, Negotiated , Design/Build , Tyler , S.P. , CA ,8/18/2020," $40,000 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-165,Long Beach Buss Terminal for CRT,New raceways for CRT and Datacomm,6860 Cherry Ave,Long Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/4/2020," $21,688 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-166,Epson Carson hall lights and outlet,New outlet and hall lights,1650 Glenn Curtiss,Carson,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/5/2020," $2,677 ",,,,,,,,15.00%,5.00%,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-167,Allergan,Tenant Improvement of 5 floors,2525 Dupont Drive,Irvine,CA, 441 OC ," 76,970 ", TI , Select Bid List , Engineered , Steve  , Est. , CA ,3/13/2020," $3,179,618 ", $41.31 ,,,,,,,,,,Pending,, $- ,,,,,,,,,Turelk,Alex Lee,,,,,,,,,,,,,,,,,,,,,
20-168,Weiland Door (2) charger connections,(2) new 480 volt charger connections,1319 Rocky Point Dr.,Oceanside,CA, 441 OC , 1 , TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/4/2020," $5,849 "," $5,849.00 ",,,,,,,15.00%,5.00%,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
