Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date,  Base Bid  , Cost SF ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments,
15-077, Little Company of Mary Center O.R. Light Fixture,O.R. Light Fixture,4101 Torrance Blvd,Torrance,CA, 11 LA ,, TI , Select Bid List , Design/Build , Steve  , Est. , CA ,11/25/2014,,#DIV/0!,,,,,,,,,,Not Bid,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-078,Solar inverter replacment,replace stolen 1.8KW inverter,,,CA, 441 OC ,, Specialty , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/18/2014," $3,000 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-079,Bbraun cooling tower inlet valve rewire,Rewire new circuits to 3 selenoid valves,2525 MacGaw,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/18/2014," $3,989 ",#DIV/0!,,,,,,,,,,Awarded,2%, $- ,,,,,,,,,Bbraun,Bob Panza,,,,,,,,,,,,,,,,,,,,,,
15-080,Qlogic,Tenant Improvement,3349 Michaelson  Drive,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,11/25/2014, $- ,#DIV/0!,,,,,,,,,,Not Bid,, $- ,,,,,,,,,Turelk,Earl Lund,,,,,,,,,,,,,,,,,,,,,,
15-081,Thales Butterfly Lab,Tenant Improvement,51 Discovery,Irvine,CA, 441 OC ,, TI , Select Bid List , Engineered , Doyle , S.P. , CA ,12/3/2014," $9,966 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-082,Epson conference room fixture,Add one fixture per direction,Kilroy Airport Way,Long Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/22/2014, $750 ,#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-083,Snell and Wilmer Plaza,Tenant Improvement,600 Anton Blvd,Costa Mesa,CA, 441 OC ,, TI , Budget , Design/Build , Frank , Est. , CA ,11/25/2014," $80,545 ",#DIV/0!,,,,,,,15.00%,5.00%,,Awarded,0%, $- ,,,,,,,,,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,,,,
15-084,Kaiser Pump replacement project,Replace 9 pumps,Walnut,Pasadena,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/2/2014," $6,484 ",#DIV/0!,,,,,,,,,,Lost,5%, $- ,,,,,,,,,All Area Plumbing,Anthony Avila,,,,,,,,,,,,,,,,,,,,,,
15-085,Applied Medical R110 Exterior Renovation,Tenant Improvement,22432 Avenida Empresa,RSM,CA, 441 OC , 998 , TI , Select Bid List , Design/Build , Frank , Est. , CA ,12/4/2014," $2,668 ", $2.67 , $800 ,,,,,,,,,Lost,2%, $- ,,,,,,,,,Swinerton,Scott Lauderdale,,,,,,,,,,,,,,,,,,,,,,
15-086,GWC Criminal Jusice Training Center,New Construction,Goldwest Street,Huntington Beach,CA, 441 OC ," 38,932 ", Comercial , Public Works , Engineered , Frank , Est. , CA ,12/4/2014, $- , $- ,,,,,,,,,,Lost,, $- ,,,,,,,,,Swinerton,Larry Hendrick,,,,,,,,,,,,,,,,,,,,,,
15-087,California City Correctional Center,Lock controls & intercom replacement,,California City,CA, 441 OC ,, Specialty , Competitive , Engineered , Steve  , Est. , CA ,12/8/2014," $479,800 ",#DIV/0!,,,,,,,,,,Lost,5%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-088,Kaiser Riverside new power outlets,Add noew power outlets,10800 Magnolia Ave,Riverside,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/18/2014," $6,700 ",#DIV/0!,,,,,,,,,,Lost,5%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-089,Building 1100,New commercial shell,601-691 Collection Blvd,Oxnard,CA, 11 LA ," 40,176 ", Comercial , Competitive , Engineered , Rudy , Est. , CA ,5/12/2015," $392,246 ", $9.76 ,,,,,,,,,,Lost,2%, $- ,,,,,,,,,Bayley,Fred Alas,,,,,,,,,,,,,,,,,,,,,,
15-090,"Cheese Cake Factory, Fucking Santa Monica",Restaurant ,200 Broadway,Santa Monica,CA, 11 LA ," 11,500 ", Comercial , Select Bid List , Engineered , Steve  , Est. , CA ,1/7/2015," $680,260 ", $59.15 ,,,,,,,,,,Awarded,, $- ,,,,,,,,,GB Mannisto,John Ashton,,,,,,,,,,,,,,,,,,,,,,
15-091,Kyocera Generator,Emergency Generator Install,14101 Alton Parkway,Irvine,CA, 441 OC ,, Comercial , Negotiated , Design/Build , Frank , Est. , CA ,12/12/2014," $319,965 ",#DIV/0!," $28,750 "," $6,000 ",,,,,,,,Lost,2%, $- ,,,,,,,,,,Tony Bergamini,,,,,,,,,,,,,,,,,,,,,,
15-092,ATEP IVC First Building-Design Project,New Construction,,Santa Ana,CA, 441 OC ,, Comercial , Public Works , Design/Build , Frank , Est. , CA ,12/12/2014, $- ,#DIV/0!,,,,,,,,,,Lost,5%, $- ,,,6/1/2015,,,,,,McCarthy,John McRichie,,,,,,,,,,,,,,,,,,,,,,
15-093,Pacific Life - HR Dept,Tenant Improvement,700 Newport Center Dr.,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Rudy , Est. , CA ,12/17/2014," $31,180 ",#DIV/0!,,,,,,,,,,Lost,5%, $- ,,,,,,,Turelk,,DBAC,Phin Banning,Turelk,Earl Lund,,,,,,,,,,,,,,,,,,,,
15-094,Quartz Hill Library,Demo/Rebuild,42018 50th Street W.,Quarz Hill,CA, 11 LA ," 12,500 ", Comercial , Select Bid List , Design/Build , Steve  , Est. , CA ,12/17/2014," $967,211 ", $77.38 ,,,,,,,,,,Not Bid,2%, $- ,,,,,,,Swinerton,,Swinerton,Jess Mora,,,,,,,,,,,,,,,,,,,,,,
15-095,Bbraun Vessel 10 demo,demo boiler vessel #10,2525 MacGaw,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/9/2014," $6,990 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-096,CNH Entry Median Lighitng and outlets,New exterior planter lighting,17531 Von Karman,Irvine,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/9/2015," $9,530 ",#DIV/0!," $1,400 ",,,,,,,,,Not Built,5%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-097,CNH Pole Locks for 12 parking lot poles,Pole locks for 12 parking lot poles,17531 Von Karman,Irvine,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/9/2015," $4,000 ",#DIV/0!,,,,,,,,,,Not Built,5%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-098,LED lighting retrofit for swimming pool,LED retrofit for existing fixtures,1 Tersero Creek Rd,Rancho Santa Marg,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/11/2014," $19,203 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-099,Greenlaw IR repairs,Repairs for IR study,17862 E. 17th St,Tustin,CA, 441 OC ,, TI , Select Bid List , Engineered , Doyle , S.P. , CA ,12/10/2014," $1,500 ",#DIV/0!,,,,,,,,,,Awarded,5%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-100,NECA Pole locks,Pole locks for 12 parking lot poles,180 South Anita St,Orange,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/12/2014," $2,700 ",#DIV/0!,,,,,,,,,,Lost,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-101,PAAMCO floor outlet power,Add power for new furniture,19540 Jamboree Rd,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/12/2014, $- ,#DIV/0!,,,,,,,,,,Not Bid,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-102,Outlet for car charger,Add Nema 14-50 outlet,1438 Lexington St,Tustin,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/11/2014," $1,245 ",#DIV/0!,,,,,,,,,,Lost,5%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-103,UCI B22C Med Gas Conduit,,,,CA, 441 OC ,,,,,,,,, $- ,#DIV/0!,,,,,,,,,,Not Bid,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-104,US Bank remodel for DEB,TI remodel of existing bank,20052 Brookhurst,Huntington Beach,CA, 441 OC ," 4,000 ", TI , Select Bid List , Engineered , Doyle , S.P. , CA ,1/5/2015," $111,155 ", $27.79 ," $6,000 ",,,,,,,,,Lost,2%, $- ,,,,,,,,,,DEB,Scott Shellhammer,,,,,,,,,,,,,,,,,,,,,
15-105,Deutche Bank LA IR scan,Remove and reinstall covers,2000 Ave of the Stars,Los Angeles,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/11/2014," $2,100 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-106,Bergensons TI,TI for office space,,Oceanside,CA, 441 OC ,,, Select Bid List , Engineered , Doyle , S.P. , CA ,11/12/2014," $83,600 ",#DIV/0!,,,,,,,,,,Awarded,2%, $- ,,,,,,,,,Howard,Jim Blackamore,,,,,,,,,,,,,,,,,,,,,,
15-107,UCIMC CT Prep & Waiting Room,Waiting Room Remodel,101 City Drive South,Orange,CA, 441 OC ," 2,183 ", Hospital , Select Bid List , Engineered , Rudy , Est. , CA ,1/8/2015," $79,450 ", $36.39 , $825 ,,,,,,,,,Lost,, $- ,,,,,,,DEB,,DEB,,2H Construction,,Kemp,,,,,,,,,,,,,,,,,,,
15-108,24 Hour Fitness,Fire Alarm conduit and Install,2800 N. Main St,Santa Ana,CA, 441 OC ,, Fire Alarm , Select Bid List , Engineered , Ron , P.M. , CA ,1/19/2014," $28,750 ",,,,,,,,,,,Lost,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-109,Bbraun Duplex VFD change out,R&R 3 customer furnished VFD ,2525 MacGaw,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/19/2014," $4,285 ",#DIV/0!,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Bbraun,Terry Cain,,,,,,,,,,,,,,,,,,,,,,
15-110,Prologis T.I.,Design Build Tenant Improvement,17777 Center Court Dr.  ,Cerritos,CA, 11 LA ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,2/4/2015," $244,650 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,So. Cal. Tenant Improvments,Robert Collins,,,,,,,,,,,,,,,,,,,,,,
15-111,FMC South Bay Home,TI for FMC Dialysis training center,1223 West PCH,Harbor City,CA, 11 LA ," 4,890 ", TI , Competitive , Engineered , Rudy , Est. , CA ,1/5/2015," $292,285 ", $59.77 ," $2,000 ",,,,,,,,,Lost,2%, $- ,,,,,,,,,Nelson + Okerlund,Terri Plunkett,,,,,,,,,,,,,,,,,,,,,,
15-112,Pacific Life Alisio Viejo Budgeting,,45 Enterprise,Alision Viejo,CA, 441 OC ,,,,, Frank , Est. , CA ,1/7/2015, $- ,#DIV/0!,,,,,,,,,,Not Bid,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-113,Stifel,Office shell T.I.,520 Newport Center Dr,Newport Beach,CA, 441 OC ," 15,652 ", TI , Competitive , Engineered , Rudy , Est. , CA ,1/7/2015," $264,895 ", $16.92 ," $5,000 "," $5,500 ",,,,,,,,Lost,, $- ,,,,,,,Turelk,,David Simpson Const.,M Simpson,DBAC,Phin Banning,Turelk,Toni Scarpinato,,,,,,,,,,,,,,,,,,
15-114,"520 NCD, 6th Floor",Tenant Improvement,520 Newport Center Dr,Newport Beach,CA, 441 OC ,, TI , Budget , Design/Build , Frank , Est. , CA ,1/8/2015, $- ,#DIV/0!,,,,,,,,,,Not Bid,, $- ,,,,,,,,,David Simpson Const.,M Simpson,,,,,,,,,,,,,,,,,,,,,,
15-115,Southpark Phase 3,T.I.,Corner of Slater and Herman,Fountain Valley,CA, 441 OC ," 157,140 ", TI , Select Bid List , Design/Build , Rudy , Est. , CA ,1/7/2015," $657,427 ", $4.18 ," $14,570 "," $12,000 ",,,,,,,,Lost,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-116,Chevron Fire Training,Fire Alarm Upgrade,324 W El Segundo Blvd,El Segundo,CA, 11 LA ,, Fire Alarm , Select Bid List , Engineered , Ron , P.M. , CA ,1/5/2015," $19,750 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,Red Hawk,,,,,,,,,,,,,,,,,,,,,,,
15-117,"520 NCD, 7th Floor ",Tenant Improvement,520 Newport Center Dr,Newport Beach,CA, 441 OC ,, TI , Budget , Design/Build , Frank , Est. , CA ,1/7/2015, $- ,#DIV/0!,,,,,,,,,,Not Bid,, $- ,,,,,,,,,David Simpson Const.,M. Simpson,,,,,,,,,,,,,,,,,,,,,,
15-118,Bixby Red Hill,New Construction,15771 Redhill Ave,Tustin,CA, 441 OC ,, Comercial , Budget , Design/Build , Frank , Est. , CA ,1/28/2015," $574,300 ",#DIV/0!,,,,,,,,,,Not Bid,5%, $- ,,,,,,,,,Snyder Langston,Jeni Jackman,,,,,,,,,,,,,,,,,,,,,,
15-119,Bbraun Duplex VFD conduit and cable for 3 motors,New conduit for P1 P2 and P5 pumps,2525 MacGaw,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/6/2015," $7,000 ",#DIV/0!, $950 ,,,,,,,,,Awarded,5%, $- ,,,,,,,,,Bbraun,Terry Cain,,,,,,,,,,,,,,,,,,,,,,
15-120,Tustin Eastern Little League Lighting repair,Repull stolen wiring,13601 Browning ,Tustin,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/8/2015," $2,500 ",#DIV/0!,,,,,,,,,,Awarded,5%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-121,18201 Von Karman suite 330 ti,ti for high rise suite,18201 Von Karman,Irvine,CA, 441 OC ,, TI , Select Bid List , Engineered , Doyle , S.P. , CA ,1/12/2015," $32,062 ",#DIV/0!," $1,000 ",,,,,,,,,Unknown,5%, $- ,,,,,,,,,CDG,Chris Defazio,,,,,,,,,,,,,,,,,,,,,,
15-122,Bbraun Humidifyer for Thermal Air,50 amp humidifyer circuit,2525 MacGaw,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/13/2014," $7,974 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,Thermal Air,Steve Watson,,,,,,,,,,,,,,,,,,,,,,
15-123,7TH Floor Suites 18201 Von Karman,Office TI,18201 Von Karman,Irvine,CA, 441 OC ," 17,716 ", TI , Competitive , Engineered , Rudy , Est. , CA ,1/15/2015," $299,860 ", $16.93 ,,,,,,,,,,Not Built,, $- ,,,,,,,,,CDG,Greg Horvath,,,,,,,,,,,,,,,,,,,,,Awarded job then Job was canceled.,
15-124,SpaceX Tooling Weld Shop office TI,TI for Tooling Weld shop,1 Rocket road,Hawthorne,CA, 11 LA ,, TI , Select Bid List , Engineered , Doyle , S.P. , CA ,1/14/2015," $24,348 ",#DIV/0!,,,,,,,,,,Lost,10%, $- ,,,,,,,,,SpaceX,John Lordan,,,,,,,,,,,,,,,,,,,,,,
15-125,Deutsche Bank Santa Ana sub metering Budget,Budget to submeter banks elect. Loads,,Santa Ana,CA, 441 OC ,, TI , Budget , Engineered , Doyle , S.P. , CA ,1/21/2015," $40,000 ",#DIV/0!,,,,,,,,,,Not Built,2%, $- ,,,,,,,,,JLL,Brad Gaston,,,,,,,,,,,,,,,,,,,,,,
15-126,"Blizzard B7 Sound Rooms 132, 133, 138 & 139",Tenant Improvement,,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,1/27/2015," $3,100 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,HBC,Nima ,,,,,,,,,,,,,,,,,,,,,,,,
15-127,Bbraun new light fixture install for existing line,Wire customer furnished fixtures,2525 MacGaw,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/16/2015," $2,340 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,Can Lines,Jeff Nelson,,,,,,,,,,,,,,,,,,,,,,
15-128,Mazda 40 amp circuit for new machine,New circuit for machine,1421 Reynolds,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/20/2015," $3,692 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,Mazda,Ken Cogliano,Mazda,Ken Cogliano,,,,,,,,,,,,,,,,,,,,,,
15-129,Marina Del Rey Emergency Generator Replacement,Adding second generator ,14650 Lincoln Boulevard,Marina Del Rey,CA, 11 LA ,, Hospital , Select Bid List , Design/Build , Rudy , Est. , CA ,1/30/2015," $163,270 ",#DIV/0!,," $6,820 ",,,,,,,,Lost,2%, $- ,,,,,,,,,Questar,Steve Logan,,,,,,,,,,,,,,,,,,,,,,
15-130,Pacific Alliance Med Gen Replacement,Replacement of (2) existing generators.,531 W. College St.,Los Angeles,CA, 11 LA ,, TI , Select Bid List , Design/Build , Rudy , Est. , CA ,1/22/2015, $- ,#DIV/0!,,,,,,,,,,Not Bid,, $- ,,,,,,,,,Miles & Kelly,,,,,,,,,,,,,,,,,,,,,,,
15-131,Loma Lind Site Improvements,,24951 Stewart Street,Loma Linda,CA, 477 SB ," 145,000 ", TI , Select Bid List , Design/Build , Steve  , Est. , CA ,1/27/2015," $218,600 ", $1.51 , $- ,,,,,,,,,Lost,2%, $- ,,,,,,,,,Miles & Kelly,Le Phu,,,,,,,,,,,,,,,,,,,,,,
15-132,Space X Cerise Building,4000A Service Upgrade,12524 Cresise Avenue,Hawthorne,CA, 11 LA ,, TI , Select Bid List , Engineered , Frank , Est. , CA ,1/23/2015," $258,231 ",#DIV/0!," $1,705 "," $3,581 "," $2,530 ",,,,,,,Lost,, $- ,,,,,,,,,SpaceX,Jay Fischer,,,,,,,,,Sierra Pac," $194,000 ",Day ,,,,,,,,,,,
15-133,Space X Wilkie Service Upgrade,3000 A Service Upgrade,12520 Wilkie Ave,Hawthorne,CA, 11 LA ,, Site , Select Bid List , Engineered , Doyle , S.P. , CA ,1/30/2014," $141,270 ",#DIV/0!," $3,250 ",,,,,,,,,Lost,, $- ,,,,,,,,,SpaceX,John Lordan,,,,,,,,,,,,,,,,,,,,,,
15-134,1499 Monrovia,Tenant Improvement,1499 Monrovia,Costa Mesa,CA, 441 OC ," 17,036 ", TI , Budget , Design/Build , Frank , Est. , CA ,2/26/2015," $525,193 ", $31 ,,,,,,,,,,Lost,2%, $- ,,,,,,,KPRS,Assaf N,,,,,,,,,,,,,,,,,,,,,,,,
15-135,Hoag 2 West Electrical Infrastructure Upgrade,Electrical ifrastructure upgrade,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Rudy , Est. , CA ,1/30/2015," $33,690 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,Hoag,Rick Hodgson,,,,,,,,,,,,,,,,,,,,,,
15-136,Caremore TI 2 offices convert to 3,Electrical ti 2 offices to 3,12898 Towne Center Dr,Cerritos,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/21/2015," $3,870 ",#DIV/0!,,,,,,,,,,Awarded,2%, $- ,,,,,,,,,Caremore,Hector Alfaro,,,,,,,,,,,,,,,,,,,,,,
15-137,Hoag Dolphin Sturcture booth removal,Add j box to replace man booth,Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/22/2015," $1,980 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,Hoag,John Hirsch,,,,,,,,,,,,,,,,,,,,,,
15-138,Troubleshoot loud 1st floor Transformer,Troubleshoot loud transformer,16245 Laguna Canyon Rd,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/22/2015, $240 ,#DIV/0!," $9,978 ",,,,,,,,,Awarded,, $- ,,,,,,,,,Blizzard,Brandon Shephard,,,,,,,,,,,,,,,,,,,,,,
15-139,Calkins Residence Water Damage Repair,Repair water damaged items,23852 Linnet Circle,Laguna Niguel,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/22/2015," $2,580 ",#DIV/0!,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-140,"Suite 640, 18201 Von Karman",,18201 Von Karman,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Rudy , Est. , CA ,2/2/2015," $77,832 ",#DIV/0!,,,,,,,,,,Lost,5%, $- ,,,,,,,,,CDG,Chris DeFazio,,,,,,,,,,,,,,,,,,,,,,
15-141,MV Medical Center & Parking Structure,4 story MOB and 5 level PS,,Mission Viejo,CA, 441 OC ," 108,791 ", Hospital , Budget , Engineered , Steve  , Est. , CA ,2/11/2015," $322,600 ", $3 ,,,,,,,,,,Lost,5%, $- ,,,,,,,Snyder Langston,,Snyder Langston,Andy Gerlach,,,,,,,,,,,,,,,,,,,,,,
15-142,AAA LA Work Space TI,Rework electrical for new lay out,2601 S. Figuroa,Los Angeles,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/29/2015," $7,000 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-143,Baxter LA UV Cable Replacement,Labor to install customer furnished cable,4501 Colorado Blvd,Los Angeles,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/29/2015," $1,935 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-144,Tesla Stationary Storage System - San Bernardino,Stationary Storage Units,311 S. Tippecanoe,San Bernardino,CA, 477 SB ,, Comercial , Negotiated , Engineered , Frank , Est. , CA ,2/5/2015," $322,947 ",#DIV/0!,,,,,,,,,,Lost,50%, $- ,,,,,,,,,KMB Design Grp,Mark Wothley,,,,,,,,,,,,,,,,,,,,,,
15-145,Hotel Irvine - Boardroom/Theater ,Boardroom/Theater Renovation,17900 Jamboree Rd.,Irvine,CA, 441 OC ,, Comercial , Competitive , Engineered , Steve  , Est. , CA ,2/3/2015,,#DIV/0!,,,,,,,,,,Not Bid,, $- ,,,,,,,Snyder Langston,,,,,,,,,,,,,,,,,,,,,,,,,
15-146,First American Cooling Tower modifications,Change 3 cooling tower motors,9 First American Way,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,2/3/2015," $8,472 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,EMCOR,,,,,,,,,,,,,,,,,,,,,,,
15-147,First American White Space to Media room conversion,,9 First American Way,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,2/4/2015," $22,040 ",#DIV/0!,,,,,,,,,,Awarded,5%, $- ,,,,,,,First American,Rick Lutsky,First American,Rick Lutsky,,,,,,,,,,,,,,,,,,,,,,
15-148,LLUMC Replacement of Radiology Rooms,Radiology room upgrade,11234 Anderson St,Loma Linda,CA, 441 OC , 800 , Hospital , Competitive , Engineered , Rudy , Est. , CA ,2/16/2015," $124,638 ", $156 ," $6,874 ",,,,,,,,,Lost,, $- ,,,,,,,,,McCarthy,Danny Mignano,,,,,,,,,,,,,,,,,,,,,,
15-149,West Anaheim Medical Center,,,Anaheim,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Rudy , Est. , CA ,2/16/2015, $- ,#DIV/0!,,,,,,,,,,Not Bid,, $- ,,,,,,,,,Miles & Kelly,Greg Kelly,,,,,,,,,,,,,,,,,,,,,,
15-150,SpaceX - Cerise Training Center T.I.,,,,CA, 11 LA ,, TI , Competitive , Design/Build , Steve  , Est. , CA ,2/6/2015," $33,928 ",#DIV/0!,,,,,,,,,,Lost,10%, $- ,,,,,,,,,SpaceX,Jay Fischer,,,,,,,,,,,,,,,,,,,,,,
15-151,Stanton Trailer service rework,Rework main service and panel,12331 Beach Blvd,Stanton ,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/9/2015," $6,715 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-152,Hudson Pacific 11601 Wilshire Blvd 9th and 10th Floor,Tenant Improvement,11601 Wilshire Blvd,Los Angeles,CA, 11 LA ," 38,060 ", TI , Select Bid List , Engineered , Rudy , Est. , CA ,6/12/2015," $1,447,923 ", $38 ," $9,018 "," $52,029 "," $4,052 "," $2,850 "," $12,326 ",,,,,Lost,90%, $- ,,,,,,,,,HBC,Don Fraiser,,,,,,,,,,,,,,,,,,,,,,
15-153,Warehouse 415,Re Purposed Warehouse,The Great Park,Irvine,CA, 441 OC ," 38,680 ", TI , Budget , Design/Build , Frank , Est. , CA ,2/12/2015," $1,271,922 ", $33 ,,,,,,,,,,Lost,5%, $- ,,,,,,,,,Snyder Langston,Jim Harrison,,,,,,,,,,,,,,,,,,,,,,
15-154,Edwards LS T&D Building,Second floor TI,,Irvine,CA, 441 OC ," 33,500 ", TI , Competitive , Engineered , Steve  , Est. , CA ,2/19/2015," $605,753 ", $18 ," $26,500 ",,,,,,,,,Lost,, $- ,,,,,,,JLC,,Snyder Langston,Larry Witten,,,,,,,,,,,,,,,,,,,,,,
15-155,Cerritos Best Plaza,Existing 25-acre Shpping Center,183rd Street and StudeebakerCerritos,,CA, 11 LA ," 1,089,000 ", TI , Select Bid List , Engineered , Rudy , Est. , CA ,3/4/2015," $873,354 ", $1 ," $614,335 "," $8,870 ",,,,,,,,Lost,, $- ,,,,,,,,,Snyder Langston,Dale Colosi,,,,,,,,,,,,,,,,,,,,,,
15-156,"Telsa Stationary Storage System - Target, Hesperia",Stationary Storage Units,12795 Main Street,Hesperia,CA, 477 SB ,, Comercial , Negotiated , Engineered , Frank , Est. , CA ,2/18/2015, $- ,#DIV/0!,,,,,,,,,,Not Bid,, $- ,,,,,,,,,KMB Design Grp,Mark Worthley,,,,,,,,,,,,,,,,,,,,,,
